商品ID,商品規格ID,親規格組合わせID,規格組合わせID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,購入制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
500856,,,,,,,,6,パナソニック,【パナソニック】 天井ビルトイン1方向タイプ フル暖タイプ シングル 10畳程度 ,1,,"XCS-RB282CC2/S｜【パナソニック ハウジングエアコン】 天井ビルトイン1方向タイプ フル暖タイプ シングル 10畳程度 単相200V ワイヤレス｜販売価格:\400,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【パナソニック ハウジングエアコン】<br>天井ビルトイン1方向タイプ フル暖タイプ シングル<br>10畳程度 単相200V ワイヤレス,XCS-RB282CC2/S,"ホワイト,ライトブラウン",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",panasonic_housing/201611/xcs-rb282cc2-s.jpg,"【パナソニック ハウジングエアコン】<br>天井ビルトイン1方向タイプ フル暖タイプ シングル<br>10畳程度 単相200V ワイヤレス<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",panasonic_housing/201611/xcs-rb282cc2-s.jpg,,,"<ul><li><font style=""color:red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※パネルカラーをお選びください</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,,,,,,,,,,,"<div class=""set"">▼セット内容<br />室内機：CS-RB282CC2 x 1<br />室外機：CU-RB282CC2 x 1<br />リモコン：同梱リモコン x 1<br />パネル：CZ-BT10-W x 1<br /></div>",,,,,,,2,0,1,XCS-RB282CC2/S,,1,,432000,432000,,0,,,,,,,,,,,,,,,,,"200201,210005",
500857,,,,,,,,6,パナソニック,【パナソニック】 天井ビルトイン1方向タイプ フル暖タイプ シングル 10畳程度 木目調,1,,"XCS-RB282CC2/S-wood｜【パナソニック ハウジングエアコン】 天井ビルトイン1方向タイプ フル暖タイプ シングル 10畳程度 単相200V ワイヤレス 木目調｜販売価格:\412,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【パナソニック ハウジングエアコン】<br>天井ビルトイン1方向タイプ フル暖タイプ シングル<br>10畳程度 単相200V ワイヤレス 木目調,XCS-RB282CC2/S-wood,木目調,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",panasonic_housing/201611/xcs-rb282cc2-s-wood.jpg,"【パナソニック ハウジングエアコン】<br>天井ビルトイン1方向タイプ フル暖タイプ シングル<br>10畳程度 単相200V ワイヤレス 木目調<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",panasonic_housing/201611/xcs-rb282cc2-s-wood.jpg,,,"<ul><li><font style=""color:red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,,,,,,,,,,,"<div class=""set"">▼セット内容<br />室内機：CS-RB282CC2 x 1<br />室外機：CU-RB282CC2 x 1<br />リモコン：同梱リモコン x 1<br />パネル：CZ-BT11-M x 1<br /></div>",,,,,,,2,0,1,XCS-RB282CC2/S-wood,,1,,444960,444960,,0,,,,,,,,,,,,,,,,,"200201,210005",
500858,,,,,,,,6,パナソニック,【パナソニック】 天井ビルトイン1方向タイプ フル暖タイプ シングル 14畳程度 ,1,,"XCS-RB402CC2/S｜【パナソニック ハウジングエアコン】 天井ビルトイン1方向タイプ フル暖タイプ シングル 14畳程度 単相200V ワイヤレス｜販売価格:\470,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【パナソニック ハウジングエアコン】<br>天井ビルトイン1方向タイプ フル暖タイプ シングル<br>14畳程度 単相200V ワイヤレス,XCS-RB402CC2/S,"ホワイト,ライトブラウン",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",panasonic_housing/201611/xcs-rb402cc2-s.jpg,"【パナソニック ハウジングエアコン】<br>天井ビルトイン1方向タイプ フル暖タイプ シングル<br>14畳程度 単相200V ワイヤレス<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",panasonic_housing/201611/xcs-rb402cc2-s.jpg,,,"<ul><li><font style=""color:red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※パネルカラーをお選びください</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,,,,,,,,,,,"<div class=""set"">▼セット内容<br />室内機：CS-RB402CC2 x 1<br />室外機：CU-RB402CC2 x 1<br />リモコン：同梱リモコン x 1<br />パネル：CZ-BT10-W x 1<br /></div>",,,,,,,2,0,1,XCS-RB402CC2/S,,1,,507600,507600,,0,,,,,,,,,,,,,,,,,"200201,210007",
500859,,,,,,,,6,パナソニック,【パナソニック】 天井ビルトイン1方向タイプ フル暖タイプ シングル 14畳程度 木目調,1,,"XCS-RB402CC2/S-wood｜【パナソニック ハウジングエアコン】 天井ビルトイン1方向タイプ フル暖タイプ シングル 14畳程度 単相200V ワイヤレス 木目調｜販売価格:\482,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【パナソニック ハウジングエアコン】<br>天井ビルトイン1方向タイプ フル暖タイプ シングル<br>14畳程度 単相200V ワイヤレス 木目調,XCS-RB402CC2/S-wood,木目調,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",panasonic_housing/201611/xcs-rb402cc2-s-wood.jpg,"【パナソニック ハウジングエアコン】<br>天井ビルトイン1方向タイプ フル暖タイプ シングル<br>14畳程度 単相200V ワイヤレス 木目調<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",panasonic_housing/201611/xcs-rb402cc2-s-wood.jpg,,,"<ul><li><font style=""color:red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,,,,,,,,,,,"<div class=""set"">▼セット内容<br />室内機：CS-RB402CC2 x 1<br />室外機：CU-RB402CC2 x 1<br />リモコン：同梱リモコン x 1<br />パネル：CZ-BT11-M x 1<br /></div>",,,,,,,2,0,1,XCS-RB402CC2/S-wood,,1,,520560,520560,,0,,,,,,,,,,,,,,,,,"200201,210007",
