22348,24972,,1,PDZX-ERP80GH,0,0,,1126440,231984,,0,13,2015-03-17 17:07:07.000375,2015-03-17 17:07:07.000375,,,0
22349,24973,,1,PDZX-ERP112GH,0,0,,1264680,260496,,0,13,2015-03-17 17:07:07.000376,2015-03-17 17:07:07.000376,,,0
22350,24974,,1,PDZX-ERP140GH,0,0,,1404000,289224,,0,13,2015-03-17 17:07:07.000377,2015-03-17 17:07:07.000377,,,0
17586,20492,,1,PCZ-ERP63KF,0,0,,657720,135432,,0,3,2014-08-27 14:40:35.000037,2014-08-27 14:40:35.000037,,,0
22289,24913,,1,PMZ-ERP63FEH,0,0,,829440,170856,,0,13,2015-03-17 17:07:01.000316,2015-03-17 17:07:01.000316,,,0
22292,24916,,1,PMZ-ERP80SFEH,0,0,,893160,183924,,0,13,2015-03-17 17:07:01.000319,2015-03-17 17:07:01.000319,,,0
22293,24917,,1,PMZ-ERP80FEH,0,0,,893160,183924,,0,13,2015-03-17 17:07:01.00032,2015-03-17 17:07:01.00032,,,0
22296,24920,,1,PMZX-ERP80SFEH,0,0,,1115640,229716,,0,13,2015-03-17 17:07:01.000323,2015-03-17 17:07:01.000323,,,0
22300,24924,,1,PMZX-ERP112FEH,0,0,,1290600,265788,,0,13,2015-03-17 17:07:02.000327,2015-03-17 17:07:02.000327,,,0
22302,24926,,1,PMZX-ERP140FEH,0,0,,1427760,294084,,0,13,2015-03-17 17:07:02.000329,2015-03-17 17:07:02.000329,,,0
22304,24928,,1,PMZX-ERP160FEH,0,0,,1544400,318060,,0,13,2015-03-17 17:07:02.000331,2015-03-17 17:07:02.000331,,,0
22306,24930,,1,PMZT-ERP160FEH,0,0,,1802520,371304,,0,13,2015-03-17 17:07:03.000333,2015-03-17 17:07:03.000333,,,0
22274,24898,,1,PMZ-ERP40SFH,0,0,,644760,132732,,0,13,2015-03-17 17:06:59.000301,2015-03-17 17:06:59.000301,,,0
17578,20484,,1,PCZ-ERP50KF,0,0,,585360,120528,,0,3,2014-08-27 14:40:34.000029,2014-08-27 14:40:34.000029,,,0
17561,20467,,1,PCZ-ERP140HF,0,0,,1104840,227556,,0,3,2014-08-27 14:40:33.000012,2014-08-27 14:40:33.000012,,,0
17580,20486,,1,PCZ-ERP50SKF,0,0,,585360,120528,,0,3,2014-08-27 14:40:34.000031,2014-08-27 14:40:34.000031,,,0
17588,20494,,1,PCZ-ERP63SKF,0,0,,657720,135432,,0,3,2014-08-27 14:40:35.000039,2014-08-27 14:40:35.000039,,,0
16440,20044,,1,RCB-AP56GHJ2,0,0,,704160,161244,,0,3,2014-08-27 14:09:24.001338,2014-08-27 14:09:24.001338,,,0
17584,20490,,1,PCZ-ERP56SKF,0,0,,608040,125172,,0,3,2014-08-27 14:40:35.000035,2014-08-27 14:40:35.000035,,,0
17626,20532,,1,PCZT-ZRP224KF,0,0,,1819800,393012,,0,3,2014-08-27 14:40:39.000077,2014-08-27 14:40:39.000077,,,0
17591,20497,,1,PCZ-ERP80KF,0,0,,709560,146124,,0,3,2014-08-27 14:40:35.000042,2014-08-27 14:40:35.000042,,,0
22275,24899,,1,PMZ-ERP40FH,0,0,,644760,132732,,0,13,2015-03-17 17:06:59.000302,2015-03-17 17:06:59.000302,,,0
22279,24903,,1,PMZ-ERP45FH,0,0,,690120,142128,,0,13,2015-03-17 17:07:00.000306,2015-03-17 17:07:00.000306,,,0
25713,27994,,1,ACHB08083X,1,1,,1040040,343116,,0,13,2015-05-01 13:09:44.000475,2015-05-01 13:09:44.000475,,,0
22283,24907,,1,PMZ-ERP50FH,0,0,,731160,150552,,0,13,2015-03-17 17:07:00.00031,2015-03-17 17:07:00.00031,,,0
22286,24910,,1,PMZ-ERP56SFH,0,0,,761400,156816,,0,13,2015-03-17 17:07:00.000313,2015-03-17 17:07:00.000313,,,0
22287,24911,,1,PMZ-ERP56FH,0,0,,761400,156816,,0,13,2015-03-17 17:07:00.000314,2015-03-17 17:07:00.000314,,,0
22290,24914,,1,PMZ-ERP63SFH,0,0,,815400,167940,,0,13,2015-03-17 17:07:01.000317,2015-03-17 17:07:01.000317,,,0
22291,24915,,1,PMZ-ERP63FH,0,0,,815400,167940,,0,13,2015-03-17 17:07:01.000318,2015-03-17 17:07:01.000318,,,0
22295,24919,,1,PMZ-ERP80SFH,0,0,,879120,181008,,0,13,2015-03-17 17:07:01.000322,2015-03-17 17:07:01.000322,,,0
17699,20605,,1,PCZ-ZRP56SKF,0,0,,646920,139644,,0,3,2014-08-27 14:40:46.00015,2014-08-27 14:40:46.00015,,,0
17702,20608,,1,PCZ-ZRP63KLF,0,0,,697680,150660,,0,3,2014-08-27 14:40:47.000153,2014-08-27 14:40:47.000153,,,0
17648,20554,,1,PCZX-HRP160HF,0,0,,1547640,665388,,0,3,2014-08-27 14:40:41.000099,2014-08-27 14:40:41.000099,,,0
17644,20550,,1,PCZX-HRP112KF,0,0,,1044360,449064,,0,3,2014-08-27 14:40:41.000095,2014-08-27 14:40:41.000095,,,0
17667,20573,,1,PCZX-ZRP280HF,0,0,,2268000,489888,,0,3,2014-08-27 14:40:43.000118,2014-08-27 14:40:43.000118,,,0
17681,20587,,1,PCZ-ZRP224BF,0,0,,1558440,336528,,0,3,2014-08-27 14:40:44.000132,2014-08-27 14:40:44.000132,,,0
17693,20599,,1,PCZ-ZRP50KF,0,0,,616680,133164,,0,3,2014-08-27 14:40:46.000144,2014-08-27 14:40:46.000144,,,0
17646,20552,,1,PCZX-HRP140KF,0,0,,1188000,510840,,0,3,2014-08-27 14:40:41.000097,2014-08-27 14:40:41.000097,,,0
