id	title	description	link	price	brand	condition	image link	mpn	product type	availability
13	SZZC160CADG｜ダイキン 業務用エアコン EcoZEAS80 天井カセット4方向 センシングフロー オートクリーン 6馬力 同時ツイン 超省エネ 三相200V ワイヤード	ダイキン EcoZEAS80 天井カセット4方向 センシングフロー 6馬力 同時ツイン	http://www.tokyo-aircon.net/products/SZZC160CADG.html	414361	ダイキン	new	http://www.tokyo-aircon.net/upload/save_image/daikin/201205/szzc160cadg.jpg	SZZC160CADG	業務用エアコン > 天井埋込カセット形4方向 > 6馬力	in stock
14	SZZC224CADG｜ダイキン 業務用エアコン EcoZEAS80 天井カセット4方向 センシングフロー オートクリーン 8馬力 同時ツイン 超省エネ 三相200V ワイヤード	ダイキン EcoZEAS80 天井カセット4方向 センシングフロー 8馬力 同時ツイン	http://www.tokyo-aircon.net/products/SZZC224CADG.html	517544	ダイキン	new	http://www.tokyo-aircon.net/upload/save_image/daikin/201205/szzc224cadg.jpg	SZZC224CADG	業務用エアコン > 天井埋込カセット形4方向 > 8馬力	in stock
15	SZZC280CADG｜ダイキン 業務用エアコン EcoZEAS80 天井カセット4方向 センシングフロー オートクリーン 10馬力 同時ツイン 超省エネ 三相200V ワイヤード	ダイキン EcoZEAS80 天井カセット4方向 センシングフロー 10馬力 同時ツイン	http://www.tokyo-aircon.net/products/SZZC280CADG.html	609986	ダイキン	new	http://www.tokyo-aircon.net/upload/save_image/daikin/201205/szzc280cadg.jpg	SZZC280CADG	業務用エアコン > 天井埋込カセット形4方向 > 10馬力	in stock
16	SZZC160CAMG｜ダイキン 業務用エアコン EcoZEAS80 天井カセット4方向 センシングフロー オートクリーン 6馬力 同時トリプル 超省エネ 三相200V ワイヤード	ダイキン EcoZEAS80 天井カセット4方向 センシングフロー 6馬力 同時トリプル	http://www.tokyo-aircon.net/products/SZZC160CAMG.html	486947	ダイキン	new	http://www.tokyo-aircon.net/upload/save_image/daikin/201205/szzc160camg.jpg	SZZC160CAMG	業務用エアコン > 天井埋込カセット形4方向 > 6馬力	in stock
17	SZZC224CAMG｜ダイキン 業務用エアコン EcoZEAS80 天井カセット4方向 センシングフロー オートクリーン 8馬力 同時トリプル 超省エネ 三相200V ワイヤード	ダイキン EcoZEAS80 天井カセット4方向 センシングフロー 8馬力 同時トリプル	http://www.tokyo-aircon.net/products/SZZC224CAMG.html	595664	ダイキン	new	http://www.tokyo-aircon.net/upload/save_image/daikin/201205/szzc224camg.jpg	SZZC224CAMG	業務用エアコン > 天井埋込カセット形4方向 > 8馬力	in stock
18	SZZC224CAWG｜ダイキン 業務用エアコン EcoZEAS80 天井カセット4方向 センシングフロー オートクリーン 8馬力 同時ダブルツイン 超省エネ 三相200V ワイヤード	ダイキン EcoZEAS80 天井カセット4方向 センシングフロー 8馬力 同時ダブルツイン	http://www.tokyo-aircon.net/products/SZZC224CAWG.html	667925	ダイキン	new	http://www.tokyo-aircon.net/upload/save_image/daikin/201205/szzc224cawg.jpg	SZZC224CAWG	業務用エアコン > 天井埋込カセット形4方向 > 8馬力	in stock
19	SZZC280CAWG｜ダイキン 業務用エアコン EcoZEAS80 天井カセット4方向 センシングフロー オートクリーン 10馬力 同時ダブルツイン 超省エネ 三相200V ワイヤード	ダイキン EcoZEAS80 天井カセット4方向 センシングフロー 10馬力 同時ダブルツイン	http://www.tokyo-aircon.net/products/SZZC280CAWG.html	753857	ダイキン	new	http://www.tokyo-aircon.net/upload/save_image/daikin/201205/szzc280cawg.jpg	SZZC280CAWG	業務用エアコン > 天井埋込カセット形4方向 > 10馬力	in stock
20	SZZC40CAT｜ダイキン 業務用エアコン EcoZEAS80 天井カセット4方向 センシングフロー  1.5馬力 シングル 超省エネ 三相200V ワイヤード	ダイキン EcoZEAS80 天井カセット4方向 センシングフロー 1.5馬力 シングル	http://www.tokyo-aircon.net/products/SZZC40CAT.html	165688	ダイキン	new	http://www.tokyo-aircon.net/upload/save_image/daikin/201205/szzc40cat.jpg	SZZC40CAT	業務用エアコン > 天井埋込カセット形4方向 > 1.5馬力	in stock
21	SZZC45CAT｜ダイキン 業務用エアコン EcoZEAS80 天井カセット4方向 センシングフロー  1.8馬力 シングル 超省エネ 三相200V ワイヤード	ダイキン EcoZEAS80 天井カセット4方向 センシングフロー 1.8馬力 シングル	http://www.tokyo-aircon.net/products/SZZC45CAT.html	176488	ダイキン	new	http://www.tokyo-aircon.net/upload/save_image/daikin/201205/szzc45cat.jpg	SZZC45CAT	業務用エアコン > 天井埋込カセット形4方向 > 1.8馬力	in stock
22	SZZC50CAT｜ダイキン 業務用エアコン EcoZEAS80 天井カセット4方向 センシングフロー  2馬力 シングル 超省エネ 三相200V ワイヤード	ダイキン EcoZEAS80 天井カセット4方向 センシングフロー 2馬力 シングル	http://www.tokyo-aircon.net/products/SZZC50CAT.html	186588	ダイキン	new	http://www.tokyo-aircon.net/upload/save_image/daikin/201205/szzc50cat.jpg	SZZC50CAT	業務用エアコン > 天井埋込カセット形4方向 > 2馬力	in stock
23	SZZC56CAT｜ダイキン 業務用エアコン EcoZEAS80 天井カセット4方向 センシングフロー  2.3馬力 シングル 超省エネ 三相200V ワイヤード	ダイキン EcoZEAS80 天井カセット4方向 センシングフロー 2.3馬力 シングル	http://www.tokyo-aircon.net/products/SZZC56CAT.html	197288	ダイキン	new	http://www.tokyo-aircon.net/upload/save_image/daikin/201205/szzc56cat.jpg	SZZC56CAT	業務用エアコン > 天井埋込カセット形4方向 > 2.3馬力	in stock
